user_like [INFO] 2024-12-18 11:56:37,510 Deleting UserLikes older than 2024-12-11 11:56:37.510479
scheduler [INFO] 2024-12-18 11:56:47,306 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:56:47,306 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 12:01:50,737 Starting scheduled jobs
user_like [INFO] 2024-12-18 12:01:50,737 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 12:01:53,759 Starting scheduled jobs
user_like [INFO] 2024-12-18 12:01:53,760 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 12:02:00,757 Deleting UserLikes older than 2024-12-11 12:02:00.757219
user_like [INFO] 2024-12-18 12:02:03,770 Deleting UserLikes older than 2024-12-11 12:02:03.770898
user [ERROR] 2024-12-18 12:03:14,883 [Errno 2] No such file or directory: 'rizzder_app/files/user_images/tmp-1d3c6664-3640-4b44-8fbc-98956cdb3912'
scheduler [INFO] 2024-12-18 12:08:18,280 Starting scheduled jobs
user_like [INFO] 2024-12-18 12:08:18,281 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 12:08:20,072 Starting scheduled jobs
user_like [INFO] 2024-12-18 12:08:20,073 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 12:08:28,297 Deleting UserLikes older than 2024-12-11 12:08:28.296859
user_like [INFO] 2024-12-18 12:08:30,081 Deleting UserLikes older than 2024-12-11 12:08:30.081166
scheduler [INFO] 2024-12-18 12:15:36,431 Starting scheduled jobs
user_like [INFO] 2024-12-18 12:15:36,432 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 12:15:37,773 Starting scheduled jobs
user_like [INFO] 2024-12-18 12:15:37,774 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 12:15:46,436 Deleting UserLikes older than 2024-12-11 12:15:46.436326
user_like [INFO] 2024-12-18 12:15:47,786 Deleting UserLikes older than 2024-12-11 12:15:47.786516
user [ERROR] 2024-12-18 12:17:00,957 Signature has expired
user [ERROR] 2024-12-18 12:17:39,101 Signature has expired
user [ERROR] 2024-12-18 12:17:53,901 Signature has expired
